content_hash,blind_id,public_relevance,harm_urgency,vulnerability,sensitivity_score,sensitivity_level,sensitivity_rationale,annotation_confidence,needs_review,annotation_round,annotated_at
93aaa38e9e5c41338399aa4d6918976c21cfd2f61b09c2dc43948b25a7dec665,SF-0001,0,0,0,0,low,,high,false,1,2026-08-25T16:50:50Z
7bb92e9f65b5a6f6b87cfd2411a29652f35c49d245928e5fa3ca22a299a10db0,SF-0002,0,0,0,0,low,,high,false,1,2026-08-27T10:30:11Z
c952177d459fe51b0b05da3f63b75feeeea5539d40d52326e37a493baa79c273,SF-0003,1,0,0,1,low,,medium,false,1,2026-08-25T16:55:55Z
4bd7517bbd0a3d2a71a3cf8b8c85f5c9f9e64b9d2f268f59082bb8e80d653121,SF-0004,2,2,1,5,high,,high,false,1,2026-08-25T17:10:48Z
b4bd8706ed1bd8820f2e682dc9acf18c6eb3cf3e4cc23f23d356ead38953987c,SF-0005,1,0,0,1,low,,high,false,1,2026-08-25T17:11:09Z
50988c18326e59169753a7726df7306f449e92fba4989cccedc82e688f97e6fa,SF-0006,0,0,0,0,low,,high,false,1,2026-08-25T17:11:23Z
f712dfcb3863fb0844ae53f5632a18e6f58d020e9391c145853742111c0910f4,SF-0007,0,0,0,0,low,,high,false,1,2026-08-25T17:11:33Z
372412aefdfd367d33f4b0a84521b69f34696966514b5b45e749e8f44aa8b5b1,SF-0008,0,0,1,1,low,,high,false,1,2026-08-25T17:11:49Z
93b9cb48f97259f959607cf816b5825bbd130021100429145b451292fb4caa63,SF-0009,0,0,0,0,low,,high,false,1,2026-08-25T17:13:16Z
07d4b1e531c83a33816dda5fb4c631c5f27d80bde8970fd35fba8d72ae7074d8,SF-0010,2,2,0,4,high,,medium,false,1,2026-08-25T17:13:40Z
0bcdf69572b1e02a6980cc98d22e6e65cff5bd5cce447e74a29c0931e7aa6901,SF-0011,1,0,0,1,low,,medium,false,1,2026-08-25T17:17:30Z
57dff5ed75cc9930c4dae24cb118fc4855f5bc01903687b0f2933356efc6a4ea,SF-0012,2,0,0,2,medium,,high,false,1,2026-08-25T17:17:40Z
2554b23bdf6bc5559f93bf1f6db54732700c6bbdabe57c77b283804122b213f4,SF-0013,2,0,0,2,medium,,high,false,1,2026-08-25T17:17:55Z
79e11c3a819e44e635f098aef03a7007e0ce6d9b1617c2403c760de65dc3299b,SF-0014,1,0,0,1,low,,medium,false,1,2026-08-25T17:18:08Z
61247ee55e4488a5d0addd7258703161e593fafae19fb971e0b7bc5715bff317,SF-0015,1,2,1,4,high,,high,false,1,2026-08-25T17:18:23Z
25e41aa51dc6e739cf4e77ef570612af965e1a7c89de8b27a333a65ac05b1326,SF-0016,0,0,1,1,low,,high,false,1,2026-08-27T10:30:52Z
03de9c707a42412e78c18e974e7a5ee2fc8d7b6e6bc9abbdcb9c9b23f60ecd0a,SF-0017,0,0,0,0,low,,medium,false,1,2026-08-25T17:20:48Z
4e2c1acd5c9da45629e22a94157ff0d82fe18116725d29f5adf892bcc43c3304,SF-0018,2,0,0,2,medium,,high,false,1,2026-08-25T17:21:11Z
6db0b19851b9689afb94cf854593614471a82ddd6b781a89d2b391a6c9be3d7a,SF-0019,0,0,0,0,low,,high,false,1,2026-08-25T17:21:18Z
008594762f20ec8efb62efe09d5cf0dee237e5c2b2e32f60c50c06d911d58f3e,SF-0020,2,0,0,2,medium,,high,false,1,2026-08-25T17:21:33Z
113526d056e358968ba7809871910a5c3b3848924f6c32e21bce8cf891f68d9b,SF-0021,2,0,1,3,medium,,medium,false,1,2026-08-25T17:21:49Z
e37b552b23467139fe95dbb82730f0ff29b8735284f7fa830e36e241f7d24f0a,SF-0022,0,0,1,1,low,,medium,false,1,2026-08-25T17:21:59Z
5b636773049aa592846f5ef93c12af0e25c95a3bede4582f17143a297f47f131,SF-0023,1,0,0,1,low,,medium,false,1,2026-08-27T10:30:45Z
2293bde9faae7810bcf4b395b8e30863f46930d3f8238ac986c58a52544976eb,SF-0024,0,0,0,0,low,,high,false,1,2026-08-25T17:22:28Z
c7a2561c8c38fcb85c7fdefe92ff5e30bb9efd344a7ef31771f227d827d7d00a,SF-0025,1,0,0,1,low,,medium,false,1,2026-08-25T17:22:41Z
f6e855e6a3066bfe953ccb86a9dd82cbee62f9d9a0d502f65d20173cf78b9e74,SF-0026,2,0,0,2,medium,,high,false,1,2026-08-25T17:22:49Z
b118ae31d79d0693f714fb959fb0427d2b02390cfeea7444d1f7ba23f964b8f3,SF-0027,0,0,0,0,low,,high,false,1,2026-08-27T10:31:07Z
44b5c025fa5cc27c01325d6859ae1fd3896af79d9ef45007f2bd6b732d0f9820,SF-0028,1,0,1,2,medium,,medium,false,1,2026-08-27T10:31:38Z
e54013e9774995a222effee2c34b3391e1b0dc152d8ac6ac0a2c604ac9c8c686,SF-0029,0,0,0,0,low,,high,false,1,2026-08-25T17:23:38Z
1c9f16e1d6d8cb404e2ab836ca927743e31c31f9dda8de0d408a028de3b92932,SF-0030,2,0,0,2,medium,,high,false,1,2026-08-25T17:23:46Z
