content_hash,source_dataset,component,normalized_label,relative_image_path,role,split_seed
00047e1946fdc5314c0f076ce0db75c7cbb8bfcc8496ee2cb89a3deffa2c3eac,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/00047e1946fdc5314c0f076ce0db75c7cbb8bfcc8496ee2cb89a3deffa2c3eac.jpg,unassigned,42
00294dcb68a832c07c7fede8179e6f9caa0e209ef1622436be2502c9dfdfaa2a,ComplexDataLab/OpenFake,openfake_pilot_600,fake,images/fake/00294dcb68a832c07c7fede8179e6f9caa0e209ef1622436be2502c9dfdfaa2a.png,gold_development,42
003570fe1e8b8a4003c7515dc194c19e098aeb40f510062b3f8e327f80de49d9,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/003570fe1e8b8a4003c7515dc194c19e098aeb40f510062b3f8e327f80de49d9.jpg,unassigned,42
0044cb3e58cacc4afc961798a33f77b3e83bc5b43787ea5a66f97b7095241392,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/0044cb3e58cacc4afc961798a33f77b3e83bc5b43787ea5a66f97b7095241392.png,gold_test,42
006889a0c3aaec918b4588904790820ec39e1b97c6e08c6b6a803ecae1d8b6e6,ComplexDataLab/OpenFake,openfake_pilot_600,fake,images/fake/006889a0c3aaec918b4588904790820ec39e1b97c6e08c6b6a803ecae1d8b6e6.png,unassigned,42
006ecef50f937cf692c61c13c25549171f5a6ac3a816f78501353d653cca06da,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/006ecef50f937cf692c61c13c25549171f5a6ac3a816f78501353d653cca06da.jpg,unassigned,42
006ee61f66b7d52d7c5e51f48e5824f2a032cf318f31e3a470dee6743999f343,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/006ee61f66b7d52d7c5e51f48e5824f2a032cf318f31e3a470dee6743999f343.png,unassigned,42
008594762f20ec8efb62efe09d5cf0dee237e5c2b2e32f60c50c06d911d58f3e,ComplexDataLab/OpenFake,openfake_pilot_600,real,images/real/008594762f20ec8efb62efe09d5cf0dee237e5c2b2e32f60c50c06d911d58f3e.jpg,gold_development,42
008829b6c2c12cba65ef788d6276ccef739f2c79c3834da0013a42fb56e91fcf,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/008829b6c2c12cba65ef788d6276ccef739f2c79c3834da0013a42fb56e91fcf.png,unassigned,42
008e9242bfda315bcb702c4d4a41800ca85196d3ca59807b8df12e740487aa25,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/008e9242bfda315bcb702c4d4a41800ca85196d3ca59807b8df12e740487aa25.jpg,unassigned,42
00b54f4ce2d09f74c2267beb67e77c62fe187aab74972e3ebe2d504fa6c39763,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/00b54f4ce2d09f74c2267beb67e77c62fe187aab74972e3ebe2d504fa6c39763.png,unassigned,42
00c0435d508a73bbeda582d06bf261b98b6913a56226e7cf29da67737ddd5e20,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/00c0435d508a73bbeda582d06bf261b98b6913a56226e7cf29da67737ddd5e20.webp,unassigned,42
00cbc8d789e764ecea4da45bebbcfa52b372608d710ae1de382996d40f9a8dc7,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/00cbc8d789e764ecea4da45bebbcfa52b372608d710ae1de382996d40f9a8dc7.png,unassigned,42
00d27e1144cf447161a29ef6ea692337fd0a78ee4d1204bf4adc322b044e854b,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/00d27e1144cf447161a29ef6ea692337fd0a78ee4d1204bf4adc322b044e854b.png,unassigned,42
00d551ef32ea946c29602bb6de3293a4653624b19fa1e84f67408f10d8430132,ComplexDataLab/OpenFake,openfake_pilot_600,fake,images/fake/00d551ef32ea946c29602bb6de3293a4653624b19fa1e84f67408f10d8430132.png,gold_development,42
00dbdda9142f5479d8506dd10cfc3ea4956f31937f39aa824c657ee300b65c55,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/00dbdda9142f5479d8506dd10cfc3ea4956f31937f39aa824c657ee300b65c55.jpg,gold_test,42
00dce87d8dc797286f65edb6be61a2c53108e35134b76defb3c2ade3b95c1954,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/00dce87d8dc797286f65edb6be61a2c53108e35134b76defb3c2ade3b95c1954.png,unassigned,42
00e8c18aaa33268122441ad7eb1a2980d9f94dd065c5be4fe79ed4fb6646ad00,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/00e8c18aaa33268122441ad7eb1a2980d9f94dd065c5be4fe79ed4fb6646ad00.jpg,unassigned,42
00ed0e1aa34982512b2dca7faa66cf61508259ccdeb8dbdcf1aa3df6dd9ee1e7,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/00ed0e1aa34982512b2dca7faa66cf61508259ccdeb8dbdcf1aa3df6dd9ee1e7.jpg,unassigned,42
011a68a2b099883d03cdb2c19dc38a007c65bffe3aeba1fd0d026e4f8d85d933,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/011a68a2b099883d03cdb2c19dc38a007c65bffe3aeba1fd0d026e4f8d85d933.png,unassigned,42
0126a08492ae133193d23d77abf6c6fc5e8ec10e44c8cfebce7e6ac0e4e243d8,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/0126a08492ae133193d23d77abf6c6fc5e8ec10e44c8cfebce7e6ac0e4e243d8.jpg,unassigned,42
0127d0b8bcd59b2f90c60f188d68d0299c9d4832df77c4853c0229464648e369,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/0127d0b8bcd59b2f90c60f188d68d0299c9d4832df77c4853c0229464648e369.png,unassigned,42
013e1faf5cc3ef7e66f895bdbda552b9867075cdd46b50d711eefbd7903513a7,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/013e1faf5cc3ef7e66f895bdbda552b9867075cdd46b50d711eefbd7903513a7.jpg,unassigned,42
01455bc620d7137df3afdbd586bfa68fee8cc931b2511a7fda21a6a98ab4158b,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/01455bc620d7137df3afdbd586bfa68fee8cc931b2511a7fda21a6a98ab4158b.png,unassigned,42
014d02224457fd79efab38f7f55b35f63b2b64d679a455cec9e5c7ccf62cdda5,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/014d02224457fd79efab38f7f55b35f63b2b64d679a455cec9e5c7ccf62cdda5.png,unassigned,42
018f0dc1e0ebdb5eb8adf57f8b90001a5b03131e7585ee8378d32efbbe5a06be,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/018f0dc1e0ebdb5eb8adf57f8b90001a5b03131e7585ee8378d32efbbe5a06be.jpg,unassigned,42
01901d6963a13165939e31ef73248313565145033418a9613082e0063cceea4d,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/01901d6963a13165939e31ef73248313565145033418a9613082e0063cceea4d.jpg,unassigned,42
0197454677d4f66eb0b0159da171d0c8da9e7d63511805503199d5eb0e30b461,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/0197454677d4f66eb0b0159da171d0c8da9e7d63511805503199d5eb0e30b461.png,unassigned,42
01b18ee7f96da180a85c3205e39912b4360d5c11982bbcdf053e167e309238ed,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/01b18ee7f96da180a85c3205e39912b4360d5c11982bbcdf053e167e309238ed.jpg,unassigned,42
01b2f2d2e32a785f8e6fc48dbc9862b785f6a6947a58677d3d504368cd9b6214,ComplexDataLab/OpenFake,openfake_pilot_600,real,images/real/01b2f2d2e32a785f8e6fc48dbc9862b785f6a6947a58677d3d504368cd9b6214.jpg,unassigned,42
01c2dc25de4fd1137d5eba4c85cd924388783d41a356f5ba7652aaafb537132c,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/01c2dc25de4fd1137d5eba4c85cd924388783d41a356f5ba7652aaafb537132c.jpg,unassigned,42
01cbc35952e0819a0ce45a7747eb183974f7cb99a314ebc0e37dcae10d503791,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/01cbc35952e0819a0ce45a7747eb183974f7cb99a314ebc0e37dcae10d503791.png,unassigned,42
024ddf004bacbdf8b2e80b053fb78c91d82a329d75d1b3aa4557edc8f832b4a5,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/024ddf004bacbdf8b2e80b053fb78c91d82a329d75d1b3aa4557edc8f832b4a5.png,unassigned,42
02704b70f3943efbc63a29c11e2fb5caf68808d596e36035aea48e139919a2cc,ComplexDataLab/OpenFake,openfake_pilot_600,real,images/real/02704b70f3943efbc63a29c11e2fb5caf68808d596e36035aea48e139919a2cc.jpg,gold_test,42
02748a7ea7f4b4c86e6af44b003fe6e3f019a88377fa69a53a9b8be93f443daf,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/02748a7ea7f4b4c86e6af44b003fe6e3f019a88377fa69a53a9b8be93f443daf.jpg,unassigned,42
028383a2bc29d233f5f1264b66ec16e43fd861654d9ee5978ea8e462b4b43f79,ComplexDataLab/OpenFake,openfake_pilot_600,fake,images/fake/028383a2bc29d233f5f1264b66ec16e43fd861654d9ee5978ea8e462b4b43f79.png,unassigned,42
02aba247c6abe5b9a067c041a4e0a65cf166b375e2c4cbc44677b288ffbf8446,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/02aba247c6abe5b9a067c041a4e0a65cf166b375e2c4cbc44677b288ffbf8446.png,unassigned,42
02b4ff836d7f3edf0e68eaaa2a045baec77cbb402246f9baff14194db49fdde7,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/02b4ff836d7f3edf0e68eaaa2a045baec77cbb402246f9baff14194db49fdde7.jpg,unassigned,42
02fc55f36e68646fcb41c0234e3cad56c7b3768529c45ea9242d05597f789ae6,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/02fc55f36e68646fcb41c0234e3cad56c7b3768529c45ea9242d05597f789ae6.jpg,unassigned,42
0311be484909f522adfc3fdac322ee07e23840fdc82e5717e068999b1e4105ee,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/0311be484909f522adfc3fdac322ee07e23840fdc82e5717e068999b1e4105ee.jpg,unassigned,42
03183ad87f31c3c99a1bec9f37c98e76d7f6dac9d4851eda5d0a4b4605425d75,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/03183ad87f31c3c99a1bec9f37c98e76d7f6dac9d4851eda5d0a4b4605425d75.jpg,unassigned,42
034210a00259d977911df2af667420db2d3c1bfffac5db8089823d9508b1ef36,ComplexDataLab/OpenFake,openfake_pilot_600,fake,images/fake/034210a00259d977911df2af667420db2d3c1bfffac5db8089823d9508b1ef36.png,unassigned,42
034a3d4070847840505a010c78888746d367be6658457fc770780c5d5f9e0681,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/034a3d4070847840505a010c78888746d367be6658457fc770780c5d5f9e0681.jpg,unassigned,42
035ecfeb940c4d35c80b3cc0ccb914d0ac42a26bcc7c582e59257a3f8b5c9a95,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/035ecfeb940c4d35c80b3cc0ccb914d0ac42a26bcc7c582e59257a3f8b5c9a95.png,unassigned,42
