content_hash,source_dataset,component,normalized_label,relative_image_path,role,split_seed,assignment_role,annotator_id,annotation_order,human_train_seed
d22ab4418eac167cad647691d1d2d705aafb9d508c492e2e5e0c131dca4f4baa,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/d22ab4418eac167cad647691d1d2d705aafb9d508c492e2e5e0c131dca4f4baa.jpg,unassigned,42,human_train,giovanni,1,42
fc874880b9a04dc295d47ea313f3342e1376eae30f3cd71998f1d8a80d4fd654,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/fc874880b9a04dc295d47ea313f3342e1376eae30f3cd71998f1d8a80d4fd654.png,unassigned,42,human_train,giovanni,2,42
cd43cde1efd10f923261d6d537942db5bef2ebfe88781825df5521c65ab1fd36,ComplexDataLab/OpenFake,openfake_pilot_600,real,images/real/cd43cde1efd10f923261d6d537942db5bef2ebfe88781825df5521c65ab1fd36.jpg,unassigned,42,human_train,giovanni,3,42
eefd730ef0d5449e99f0894ea5e09e5110ff36c0e3d0ab3cf54611680b3b678a,ComplexDataLab/OpenFake,openfake_pilot_600,fake,images/fake/eefd730ef0d5449e99f0894ea5e09e5110ff36c0e3d0ab3cf54611680b3b678a.png,unassigned,42,human_train,giovanni,4,42
cb7d165d032c2eb39be6e57eff30610c0167ba708f20d83924fbd7ae4021b84d,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/cb7d165d032c2eb39be6e57eff30610c0167ba708f20d83924fbd7ae4021b84d.png,unassigned,42,human_train,giovanni,5,42
c3aea48d4de71effb22bf88858c543673e50d8cc3e21438f7ef442c62a1315dd,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/c3aea48d4de71effb22bf88858c543673e50d8cc3e21438f7ef442c62a1315dd.jpg,unassigned,42,human_train,giovanni,6,42
7c44932e5efc93234dce877a94e0bbbb81a53662fa5ffabba5dc5f05fe7cdf51,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/7c44932e5efc93234dce877a94e0bbbb81a53662fa5ffabba5dc5f05fe7cdf51.jpg,unassigned,42,human_train,giovanni,7,42
f6f7e9f71ea5cd3759c4c94c754524b6d3ab2777270c5f3b77c2c826c84a28b5,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/f6f7e9f71ea5cd3759c4c94c754524b6d3ab2777270c5f3b77c2c826c84a28b5.jpg,unassigned,42,human_train,giovanni,8,42
8241bbae3a5ea1bfef7a442ce2bf631b1636664f15461873bf633f6b774a4265,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/8241bbae3a5ea1bfef7a442ce2bf631b1636664f15461873bf633f6b774a4265.jpg,unassigned,42,human_train,giovanni,9,42
27181a257121302906ac0825fc5d0e30cd3dab312953c70192c3ebe202a31e68,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/27181a257121302906ac0825fc5d0e30cd3dab312953c70192c3ebe202a31e68.png,unassigned,42,human_train,giovanni,10,42
f7b346c7ba61116a506793d733d46ea0394f3e048af676e6d4ddc6a328f507c2,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/f7b346c7ba61116a506793d733d46ea0394f3e048af676e6d4ddc6a328f507c2.png,unassigned,42,human_train,giovanni,11,42
1649eac954d5a54d6419a76ce460b565d1afe9b052b78663aecadb88a4038f6d,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/1649eac954d5a54d6419a76ce460b565d1afe9b052b78663aecadb88a4038f6d.jpg,unassigned,42,human_train,giovanni,12,42
ead550ad99628a06323f4aa753d2a324526ef63603de4c4ec3cf77a7e3072060,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/ead550ad99628a06323f4aa753d2a324526ef63603de4c4ec3cf77a7e3072060.png,unassigned,42,human_train,giovanni,13,42
c1b3f31da807d1c6bcefffe55f71a0c217667319557d4af9fbea5ed6930ae674,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/c1b3f31da807d1c6bcefffe55f71a0c217667319557d4af9fbea5ed6930ae674.jpg,unassigned,42,human_train,giovanni,14,42
e0654928fe7dcca7e49a7b02bde373aac01491458814fb27078a7af303458653,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/e0654928fe7dcca7e49a7b02bde373aac01491458814fb27078a7af303458653.jpg,unassigned,42,human_train,giovanni,15,42
128bd40a51f84fd5c425d1bc64f40c2db9a763849ab1f880582b850aaa7656eb,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/128bd40a51f84fd5c425d1bc64f40c2db9a763849ab1f880582b850aaa7656eb.png,unassigned,42,human_train,giovanni,16,42
6b641e123f139078d2ebfff7d6c6c94ff77150c8c843e8fe3af09b1cb72df2a4,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/6b641e123f139078d2ebfff7d6c6c94ff77150c8c843e8fe3af09b1cb72df2a4.png,unassigned,42,human_train,giovanni,17,42
c3d7812ae36bd3d9f350ac75178914e8298e099972b164c0a8c5f2467761628d,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/c3d7812ae36bd3d9f350ac75178914e8298e099972b164c0a8c5f2467761628d.jpg,unassigned,42,human_train,giovanni,18,42
99c8693a7b70cddc9d39330d4490c3e5ab485e5d37beebba8b07cc076bb6c146,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/99c8693a7b70cddc9d39330d4490c3e5ab485e5d37beebba8b07cc076bb6c146.png,unassigned,42,human_train,giovanni,19,42
5788da0599bb07df312fe68fe87df1d48b638aed5e97476059897017410ab13d,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/5788da0599bb07df312fe68fe87df1d48b638aed5e97476059897017410ab13d.jpg,unassigned,42,human_train,giovanni,20,42
37928f17f6e0bd188c8b623cf0796c0e2d43eea4f2b35e50fb5f9c8064225e60,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/37928f17f6e0bd188c8b623cf0796c0e2d43eea4f2b35e50fb5f9c8064225e60.jpg,unassigned,42,human_train,giovanni,21,42
780f8068aa47fdd74244e4dde6bd40d42d7ba8e88c10a2c6e31eeb1d238cb1fc,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/780f8068aa47fdd74244e4dde6bd40d42d7ba8e88c10a2c6e31eeb1d238cb1fc.jpg,unassigned,42,human_train,giovanni,22,42
bd50762a871e010c4068126528581e297e8d68005da957f1c228bbf87d5875dc,ComplexDataLab/OpenFake,openfake_pilot_600,real,images/real/bd50762a871e010c4068126528581e297e8d68005da957f1c228bbf87d5875dc.jpg,unassigned,42,human_train,giovanni,23,42
05821ee51ef95d0a7de9d81a147b95ad2f0bb57f7608320a6e34e3565e13157e,ComplexDataLab/OpenFake,openfake_pilot_600,fake,images/fake/05821ee51ef95d0a7de9d81a147b95ad2f0bb57f7608320a6e34e3565e13157e.png,unassigned,42,human_train,giovanni,24,42
fded0a0f7f44852b3d2da5e8c934ed357a5311ec6e10ebebe570cf1a71733399,ComplexDataLab/OpenFake,openfake_pilot_600,fake,images/fake/fded0a0f7f44852b3d2da5e8c934ed357a5311ec6e10ebebe570cf1a71733399.jpg,unassigned,42,human_train,giovanni,25,42
1f71f5110b4e5aa7e41750c81827dfff8d9e20977411b72089994f23ef606a05,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/1f71f5110b4e5aa7e41750c81827dfff8d9e20977411b72089994f23ef606a05.jpg,unassigned,42,human_train,giovanni,26,42
4005f8aa218782510b69fd27cf4480e1cf250b943a69487a5206c86669e45067,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/4005f8aa218782510b69fd27cf4480e1cf250b943a69487a5206c86669e45067.jpg,unassigned,42,human_train,giovanni,27,42
3016cfebab5dc44162cff763c92c92bec977880b0740f30fe3cecc63cfaa4343,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/3016cfebab5dc44162cff763c92c92bec977880b0740f30fe3cecc63cfaa4343.png,unassigned,42,human_train,giovanni,28,42
ade9fd796ab48a0acae88445732fc1baef4e7cbd245de21720712c2cb096beb1,ComplexDataLab/OpenFake,openfake_pilot_600,fake,images/fake/ade9fd796ab48a0acae88445732fc1baef4e7cbd245de21720712c2cb096beb1.png,unassigned,42,human_train,giovanni,29,42
7d1ed5e5d4e3bc1beb8dbb2c8678c8d75fce261223ea4931d209a5c68aa7a99c,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/7d1ed5e5d4e3bc1beb8dbb2c8678c8d75fce261223ea4931d209a5c68aa7a99c.jpg,unassigned,42,human_train,giovanni,30,42
374e45ebd3ecc4c43b76b05ff0088e54d00a0c1a6bfe658bc8e1b3f0fe8d3acc,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/374e45ebd3ecc4c43b76b05ff0088e54d00a0c1a6bfe658bc8e1b3f0fe8d3acc.jpg,unassigned,42,human_train,giovanni,31,42
e14c2b72ee15ebc0d3ad2b65d557797a2cba7e590b0544a229ae192ac81c5d4f,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/e14c2b72ee15ebc0d3ad2b65d557797a2cba7e590b0544a229ae192ac81c5d4f.png,unassigned,42,human_train,giovanni,32,42
e3fcba18f5421e091c34a951fc82c1739dc87a7656ecce311020aa94c82bc3de,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/e3fcba18f5421e091c34a951fc82c1739dc87a7656ecce311020aa94c82bc3de.png,unassigned,42,human_train,giovanni,33,42
e41d3c7ef887099c9bf8436a4129552501da31e09bc93182dc5427f9e26c1bba,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/e41d3c7ef887099c9bf8436a4129552501da31e09bc93182dc5427f9e26c1bba.jpg,unassigned,42,human_train,giovanni,34,42
ef5ac6ff7160d5a07c39e78ece79bb63a0bb57503a777b6a89fdd1ae6c5d6584,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/ef5ac6ff7160d5a07c39e78ece79bb63a0bb57503a777b6a89fdd1ae6c5d6584.png,unassigned,42,human_train,giovanni,35,42
b8d15cb5db5e44e22429599c4b4b4ae76c368bc14a664a9255e5fd0dc94faa08,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/b8d15cb5db5e44e22429599c4b4b4ae76c368bc14a664a9255e5fd0dc94faa08.jpg,unassigned,42,human_train,giovanni,36,42
3661bb186f215ff505cda7b90ba04bc4fbeed90c45d8b57f344a244c0ed182fe,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/3661bb186f215ff505cda7b90ba04bc4fbeed90c45d8b57f344a244c0ed182fe.jpg,unassigned,42,human_train,giovanni,37,42
f881925ff3796a8b02099cb43b677db8f2fa2267eb0161e9fe17dce1852e6000,ComplexDataLab/OpenFake,openfake_pilot_600,fake,images/fake/f881925ff3796a8b02099cb43b677db8f2fa2267eb0161e9fe17dce1852e6000.jpg,unassigned,42,human_train,giovanni,38,42
9c0cddb043bacccf5ae2884acc7ae92cf96a574e602f53dc42b66660f2586c41,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/9c0cddb043bacccf5ae2884acc7ae92cf96a574e602f53dc42b66660f2586c41.jpg,unassigned,42,human_train,giovanni,39,42
e0a5381a5d132cec0cefadb6d712df425e12320dbbbce7c4dac762b0cc1ff38e,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/e0a5381a5d132cec0cefadb6d712df425e12320dbbbce7c4dac762b0cc1ff38e.jpg,unassigned,42,human_train,giovanni,40,42
dd736e197c2842c41f7699d083fc34d0cfdc630c24ced9e4779a0890487ecc22,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/dd736e197c2842c41f7699d083fc34d0cfdc630c24ced9e4779a0890487ecc22.png,unassigned,42,human_train,giovanni,41,42
c4da5465a34e7c9cafb597ff062d954935b53ed2f82977bb59580d894d150f6c,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/c4da5465a34e7c9cafb597ff062d954935b53ed2f82977bb59580d894d150f6c.png,unassigned,42,human_train,giovanni,42,42
fa2ed703b49f210195fdd1f3a462f1b95826253121aded4f08fd439b0e8623e7,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/fa2ed703b49f210195fdd1f3a462f1b95826253121aded4f08fd439b0e8623e7.jpg,unassigned,42,human_train,giovanni,43,42
184f67107497daa6867c73a94a993f170ebfd998c6eb894224b60eaa43ff23d3,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/184f67107497daa6867c73a94a993f170ebfd998c6eb894224b60eaa43ff23d3.png,unassigned,42,human_train,giovanni,44,42
b52089b34726d7967c424ced3f7da564c6e4c63711c3d107ee463526359653ac,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/b52089b34726d7967c424ced3f7da564c6e4c63711c3d107ee463526359653ac.jpg,unassigned,42,human_train,giovanni,45,42
c4ef5ef2f139691c9191ca331101cf7967aa87fac84e8a4c889825b6f73283c7,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/c4ef5ef2f139691c9191ca331101cf7967aa87fac84e8a4c889825b6f73283c7.png,unassigned,42,human_train,giovanni,46,42
8fb2b37a72a284b146c510401492e6dde8b492b51924cbb46aa1bc3bddd69650,saberzl/SID_Set,sid_set_candidate_1500,fake,images/fake/8fb2b37a72a284b146c510401492e6dde8b492b51924cbb46aa1bc3bddd69650.png,unassigned,42,human_train,giovanni,47,42
c552f3317939b6619ff5cfe8c73c46c452637a27c6f698ad43382e8a54d5f0ba,ComplexDataLab/OpenFake,openfake_additional_900,fake,images/fake/c552f3317939b6619ff5cfe8c73c46c452637a27c6f698ad43382e8a54d5f0ba.png,unassigned,42,human_train,giovanni,48,42
b2555488817f591b559538d7b6b4794359c67daec417b33a10f348a9c7e9ed3f,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/b2555488817f591b559538d7b6b4794359c67daec417b33a10f348a9c7e9ed3f.jpg,unassigned,42,human_train,giovanni,49,42
1564245bbd0aa7132fa0391258283c258e918d85f04ecb93564a3b29de3261ce,ComplexDataLab/OpenFake,openfake_additional_900,real,images/real/1564245bbd0aa7132fa0391258283c258e918d85f04ecb93564a3b29de3261ce.jpg,unassigned,42,human_train,giovanni,50,42
1066e29317832e8599746a8a39be02cc203d261d6297fcaec01f23e1901a93a8,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/1066e29317832e8599746a8a39be02cc203d261d6297fcaec01f23e1901a93a8.jpg,unassigned,42,human_train,giovanni,51,42
0d3a6c1adf273fd526f05973b18e6ba54ca8f627beb115c24a258a216186ed64,saberzl/SID_Set,sid_set_candidate_1500,real,images/real/0d3a6c1adf273fd526f05973b18e6ba54ca8f627beb115c24a258a216186ed64.jpg,unassigned,42,human_train,giovanni,52,42
