blind_id,content_hash,component,relative_image_path,annotation_order
HT-502da25b678c1f797f30,d22ab4418eac167cad647691d1d2d705aafb9d508c492e2e5e0c131dca4f4baa,openfake_additional_900,images/real/d22ab4418eac167cad647691d1d2d705aafb9d508c492e2e5e0c131dca4f4baa.jpg,1
HT-86139d48eed935840035,fc874880b9a04dc295d47ea313f3342e1376eae30f3cd71998f1d8a80d4fd654,sid_set_candidate_1500,images/fake/fc874880b9a04dc295d47ea313f3342e1376eae30f3cd71998f1d8a80d4fd654.png,2
HT-eff15b2de4ad929955b5,cd43cde1efd10f923261d6d537942db5bef2ebfe88781825df5521c65ab1fd36,openfake_pilot_600,images/real/cd43cde1efd10f923261d6d537942db5bef2ebfe88781825df5521c65ab1fd36.jpg,3
HT-c6afaaf39e23cb8fe2f8,eefd730ef0d5449e99f0894ea5e09e5110ff36c0e3d0ab3cf54611680b3b678a,openfake_pilot_600,images/fake/eefd730ef0d5449e99f0894ea5e09e5110ff36c0e3d0ab3cf54611680b3b678a.png,4
HT-2c6e623157d959891be6,cb7d165d032c2eb39be6e57eff30610c0167ba708f20d83924fbd7ae4021b84d,sid_set_candidate_1500,images/fake/cb7d165d032c2eb39be6e57eff30610c0167ba708f20d83924fbd7ae4021b84d.png,5
HT-94d3eeea92ee9a9ea953,c3aea48d4de71effb22bf88858c543673e50d8cc3e21438f7ef442c62a1315dd,openfake_additional_900,images/real/c3aea48d4de71effb22bf88858c543673e50d8cc3e21438f7ef442c62a1315dd.jpg,6
HT-0ef22d7c2c1c9f1acc00,7c44932e5efc93234dce877a94e0bbbb81a53662fa5ffabba5dc5f05fe7cdf51,openfake_additional_900,images/fake/7c44932e5efc93234dce877a94e0bbbb81a53662fa5ffabba5dc5f05fe7cdf51.jpg,7
HT-637ac4bbb3fcf226bb6d,f6f7e9f71ea5cd3759c4c94c754524b6d3ab2777270c5f3b77c2c826c84a28b5,sid_set_candidate_1500,images/real/f6f7e9f71ea5cd3759c4c94c754524b6d3ab2777270c5f3b77c2c826c84a28b5.jpg,8
HT-2552a6154d10e34e429e,8241bbae3a5ea1bfef7a442ce2bf631b1636664f15461873bf633f6b774a4265,sid_set_candidate_1500,images/real/8241bbae3a5ea1bfef7a442ce2bf631b1636664f15461873bf633f6b774a4265.jpg,9
HT-d598b54e14179f2916e7,27181a257121302906ac0825fc5d0e30cd3dab312953c70192c3ebe202a31e68,openfake_additional_900,images/fake/27181a257121302906ac0825fc5d0e30cd3dab312953c70192c3ebe202a31e68.png,10
