blind_id,content_hash,component,relative_image_path,annotation_order
HT-ebf19a91aa0babac971e,603dd1302b2fb5cf5a47499e1bcb0ff47de5646afca2f758c81e0acd653e01c5,openfake_additional_900,images/real/603dd1302b2fb5cf5a47499e1bcb0ff47de5646afca2f758c81e0acd653e01c5.jpg,1
HT-e031cb8a3c448b8e2cfb,7a834e6ae1072b1f410cd47dd08d4294a8754b898b6478cb5c905bfdea5c2059,sid_set_candidate_1500,images/fake/7a834e6ae1072b1f410cd47dd08d4294a8754b898b6478cb5c905bfdea5c2059.png,2
HT-066e2511457653dc84f0,056e94ca3802b167d68c51ef79a45b9d8156d3d3749d75c11a2478714015bab9,sid_set_candidate_1500,images/real/056e94ca3802b167d68c51ef79a45b9d8156d3d3749d75c11a2478714015bab9.jpg,3
HT-884ba17c5cea97481347,de2a1078cdf26ff660f587bc6202c1d58b53d9787d1f21dd8c03fd6550ff2c4a,openfake_additional_900,images/real/de2a1078cdf26ff660f587bc6202c1d58b53d9787d1f21dd8c03fd6550ff2c4a.jpg,4
HT-db050461225e4d6b3974,fbf063206a1ab90c9d745f82ec9706ee85feb270bb3a7d858b766d574015222e,openfake_additional_900,images/fake/fbf063206a1ab90c9d745f82ec9706ee85feb270bb3a7d858b766d574015222e.png,5
HT-b3cbffe9d68da99aaf48,d83b990da1b743a0385b8d2e287ea925d5c6067d01b688002a9926bde0304f4a,sid_set_candidate_1500,images/fake/d83b990da1b743a0385b8d2e287ea925d5c6067d01b688002a9926bde0304f4a.png,6
HT-3c91fd5bad66a5573c91,77530bd59d9384426ee450a9d54aaf63794d3f17a6ed3f39b6aedf71f1469373,openfake_additional_900,images/real/77530bd59d9384426ee450a9d54aaf63794d3f17a6ed3f39b6aedf71f1469373.jpg,7
HT-bc81201f70c15b145ac4,c4d19a75ffec3b25458e7a44dd7e1c11a3e9b106e060a74e89c83e785dfc7b54,sid_set_candidate_1500,images/fake/c4d19a75ffec3b25458e7a44dd7e1c11a3e9b106e060a74e89c83e785dfc7b54.png,8
HT-b448d2fd088627e0cb27,33a3792dac9ca3840412daeaed4fcd6f798e92893bed317a5b2dd7f7ed79b002,openfake_pilot_600,images/fake/33a3792dac9ca3840412daeaed4fcd6f798e92893bed317a5b2dd7f7ed79b002.webp,9
HT-bf2e6749702d58a0b65f,f5f53c4a5c57fed5111f36edc822cfa089ee7541ee3564740bf1027842e5bc7c,sid_set_candidate_1500,images/real/f5f53c4a5c57fed5111f36edc822cfa089ee7541ee3564740bf1027842e5bc7c.jpg,10
HT-2075e5ae39a319042311,cc68576123d2f6625c6db066e7a08701e5a6acd8d58530399c1177a06916a0a4,openfake_additional_900,images/fake/cc68576123d2f6625c6db066e7a08701e5a6acd8d58530399c1177a06916a0a4.png,11
HT-b0eefe99cd6e637b7718,62795a2b1cbe271bf97399a28ad4fac3bfc23f8f38707773ce1438374182d797,sid_set_candidate_1500,images/fake/62795a2b1cbe271bf97399a28ad4fac3bfc23f8f38707773ce1438374182d797.png,12
HT-c67103418a43b7b644ca,e26b401d68bcb581c2c8999c921be3bd406d94eb417c7bae7da5ff8a175b161b,openfake_additional_900,images/fake/e26b401d68bcb581c2c8999c921be3bd406d94eb417c7bae7da5ff8a175b161b.png,13
HT-099d7a1ac9b3f8383a0b,9992cb53a3131c2a2ed9d031cfa62204d808352a9b9c66fb2bd659de29db2c46,openfake_additional_900,images/fake/9992cb53a3131c2a2ed9d031cfa62204d808352a9b9c66fb2bd659de29db2c46.jpg,14
HT-02f06830d56aeb95c8a9,1666626ba244b301d5b10c187b3c9d3cad15a640fa3b91381b12e5756f95552e,openfake_additional_900,images/real/1666626ba244b301d5b10c187b3c9d3cad15a640fa3b91381b12e5756f95552e.jpg,15
HT-365199c2498cd6fb9c11,27a8837396877f6e6c79abe739a969bbbed572cbab48a8ad372f4b3bec846b6e,openfake_pilot_600,images/fake/27a8837396877f6e6c79abe739a969bbbed572cbab48a8ad372f4b3bec846b6e.png,16
HT-f3ba78389398f51dbf92,2616ae726257175cbc4aee0907a4a767fe09f6d053a48083a30d22315b722736,sid_set_candidate_1500,images/real/2616ae726257175cbc4aee0907a4a767fe09f6d053a48083a30d22315b722736.jpg,17
HT-ad6b6dcd1269d6502dbf,406d8427e83ccd9e72e985d7828a9a8028c863c4f38e66beb7303348832b6b9c,openfake_additional_900,images/fake/406d8427e83ccd9e72e985d7828a9a8028c863c4f38e66beb7303348832b6b9c.jpg,18
HT-1ef58d7f867f878ba367,cdc6c2adcbea5b64d50b74af4c0443e3aa6614588b5fdacdb905fe237bb074fe,sid_set_candidate_1500,images/fake/cdc6c2adcbea5b64d50b74af4c0443e3aa6614588b5fdacdb905fe237bb074fe.png,19
HT-4a5ecacb93bcd55e5eb8,a4dfc12cf486dcc3ae2f862a3200317391c42715845370737c64ad421cfa66ae,sid_set_candidate_1500,images/fake/a4dfc12cf486dcc3ae2f862a3200317391c42715845370737c64ad421cfa66ae.png,20
