blind_id,content_hash,component,relative_image_path,annotation_order
HT-d844c04811f545e4e3ad,f340c67311643341beb4e1b8d223875c31b373bf27ab1bbc1f52acd969e4d0b6,sid_set_candidate_1500,images/real/f340c67311643341beb4e1b8d223875c31b373bf27ab1bbc1f52acd969e4d0b6.jpg,1
HT-4c2a6f93b1a434bc9530,e5f55ef6b86b20d493f1523d83ffa07cf74e5e1d2ae8f7015ec289d6320247da,sid_set_candidate_1500,images/fake/e5f55ef6b86b20d493f1523d83ffa07cf74e5e1d2ae8f7015ec289d6320247da.png,2
HT-e5ecc59f90ecc050fa34,79aa2794c596a45a4ed7988cab59d03a66b44dea0129a2e8c45b97f5921be136,openfake_pilot_600,images/real/79aa2794c596a45a4ed7988cab59d03a66b44dea0129a2e8c45b97f5921be136.jpg,3
HT-28e9ee8fc1b38f94c6e5,c8e311ffc8f1f49ab711b2fc77d4d10501bcd8e3238cc67227022bac944b125d,sid_set_candidate_1500,images/fake/c8e311ffc8f1f49ab711b2fc77d4d10501bcd8e3238cc67227022bac944b125d.png,4
HT-a303c54f2e6188698902,40b6fa533d8a7e74194fb49e0e1ac0bd068454e3bc9b847e35a57c24913ca6e8,openfake_additional_900,images/real/40b6fa533d8a7e74194fb49e0e1ac0bd068454e3bc9b847e35a57c24913ca6e8.jpg,5
HT-8c9118a077e61a06ec71,a212bf21501e0e1c84162c4c44b22fbddf332b2152b37f76f9f56c6bee56eba0,sid_set_candidate_1500,images/fake/a212bf21501e0e1c84162c4c44b22fbddf332b2152b37f76f9f56c6bee56eba0.png,6
HT-230030c110909785355a,4cd4df40fab1ead22ed12490f6641be1f1d1fad8e2fff1ef40226ad14d19e115,openfake_additional_900,images/real/4cd4df40fab1ead22ed12490f6641be1f1d1fad8e2fff1ef40226ad14d19e115.jpg,7
HT-ea7d1d9edcb021c85965,8c41762f17b8b4887f4211b66823ddf8a04fdc538ca2ae6841163b96002d3b47,openfake_pilot_600,images/fake/8c41762f17b8b4887f4211b66823ddf8a04fdc538ca2ae6841163b96002d3b47.png,8
HT-6f7fe1a66dc83437b436,63d2dfe772f2266863c7b943c781ba67154e71b40c91568a275417947f8ead18,sid_set_candidate_1500,images/fake/63d2dfe772f2266863c7b943c781ba67154e71b40c91568a275417947f8ead18.png,9
HT-3483644f135c63205084,cd1f1c6ff98f1f6c7b97c0b1c1f41c59fb24d06b847b33bbd8da069c4bb27935,openfake_pilot_600,images/real/cd1f1c6ff98f1f6c7b97c0b1c1f41c59fb24d06b847b33bbd8da069c4bb27935.jpg,10
HT-ad0ec48b899e875b2dbe,12bd4b31dd75102e4a975fb4e0d3c7709590f8d614c4b2f8b96e68014490fbbe,openfake_additional_900,images/real/12bd4b31dd75102e4a975fb4e0d3c7709590f8d614c4b2f8b96e68014490fbbe.jpg,11
HT-5e8ea24bdd8abbd3c0a1,097db96da5fdf9ac982d53e86e135f7353040781242b5bbdfd762091e6db94b8,openfake_pilot_600,images/fake/097db96da5fdf9ac982d53e86e135f7353040781242b5bbdfd762091e6db94b8.png,12
